structure,n,trial,total_ns,ns_per_push,median_push_ns,p95_push_ns,p99_push_ns,max_push_ns,random_access_ns,checksum,estimated_bytes
ResizableArray,3,9,200,66.667,100,100,100,100,100,14435657767892227380,48
BaselineArray,3,9,100,33.333,100,100,100,100,0,14435657767892227380,16
ResizableArray,4,0,200,50.000,0,0,0,0,100,3351059059494474697,32
BaselineArray,4,0,200,50.000,100,100,100,100,100,3351059059494474697,16
ResizableArray,4,1,100,25.000,100,100,100,100,100,3351059059494474697,32
BaselineArray,4,1,200,50.000,100,100,100,100,0,3351059059494474697,16
ResizableArray,4,2,200,50.000,100,100,100,100,0,3351059059494474697,32
BaselineArray,4,2,200,50.000,100,100,100,100,100,3351059059494474697,16
ResizableArray,4,3,100,25.000,0,100,100,100,0,3351059059494474697,32
BaselineArray,4,3,200,50.000,100,100,100,100,0,3351059059494474697,16
ResizableArray,4,4,200,50.000,0,100,100,100,100,3351059059494474697,32
BaselineArray,4,4,200,50.000,0,0,0,0,0,3351059059494474697,16
ResizableArray,4,5,200,50.000,0,100,100,100,0,3351059059494474697,32
BaselineArray,4,5,200,50.000,0,0,0,0,100,3351059059494474697,16
ResizableArray,4,6,100,25.000,0,0,0,0,0,3351059059494474697,32
BaselineArray,4,6,100,25.000,100,100,100,100,100,3351059059494474697,16
ResizableArray,4,7,200,50.000,100,100,100,100,0,3351059059494474697,32
BaselineArray,4,7,300,75.000,0,0,0,0,0,3351059059494474697,16
ResizableArray,4,8,200,50.000,100,100,100,100,0,3351059059494474697,32
BaselineArray,4,8,200,50.000,100,100,100,100,0,3351059059494474697,16
ResizableArray,4,9,100,25.000,100,100,100,100,100,3351059059494474697,32
BaselineArray,4,9,100,25.000,100,100,100,100,0,3351059059494474697,16
ResizableArray,5,0,200,40.000,0,100,100,100,100,12089212305019938371,96
BaselineArray,5,0,200,40.000,100,100,100,100,100,12089212305019938371,32
ResizableArray,5,1,100,20.000,100,100,100,100,0,12089212305019938371,96
BaselineArray,5,1,300,60.000,100,100,100,100,100,12089212305019938371,32
ResizableArray,5,2,200,40.000,100,100,100,100,100,12089212305019938371,96
BaselineArray,5,2,200,40.000,100,100,100,100,0,12089212305019938371,32
ResizableArray,5,3,200,40.000,0,100,100,100,100,12089212305019938371,96
BaselineArray,5,3,200,40.000,100,100,100,100,100,12089212305019938371,32
ResizableArray,5,4,200,40.000,100,100,100,100,0,12089212305019938371,96
BaselineArray,5,4,300,60.000,0,100,100,100,0,12089212305019938371,32
ResizableArray,5,5,200,40.000,0,100,100,100,0,12089212305019938371,96
BaselineArray,5,5,200,40.000,100,100,100,100,100,12089212305019938371,32
ResizableArray,5,6,100,20.000,100,100,100,100,0,12089212305019938371,96
BaselineArray,5,6,200,40.000,100,100,100,100,100,12089212305019938371,32
ResizableArray,5,7,200,40.000,0,100,100,100,100,12089212305019938371,96
BaselineArray,5,7,200,40.000,100,100,100,100,100,12089212305019938371,32
ResizableArray,5,8,400,80.000,100,100,100,100,0,12089212305019938371,96
BaselineArray,5,8,300,60.000,100,100,100,100,0,12089212305019938371,32
ResizableArray,5,9,200,40.000,0,100,100,100,0,12089212305019938371,96
BaselineArray,5,9,300,60.000,0,100,100,100,100,12089212305019938371,32
ResizableArray,7,0,200,28.571,100,100,100,100,100,18057498213392860566,96
BaselineArray,7,0,300,42.857,100,100,100,100,0,18057498213392860566,32
ResizableArray,7,1,200,28.571,100,100,100,100,0,18057498213392860566,96
BaselineArray,7,1,300,42.857,0,100,100,100,100,18057498213392860566,32
ResizableArray,7,2,200,28.571,0,100,100,100,100,18057498213392860566,96
BaselineArray,7,2,300,42.857,0,100,100,100,100,18057498213392860566,32
ResizableArray,7,3,200,28.571,0,100,100,100,100,18057498213392860566,96
BaselineArray,7,3,300,42.857,100,100,100,100,0,18057498213392860566,32
ResizableArray,7,4,200,28.571,0,100,100,100,100,18057498213392860566,96
BaselineArray,7,4,300,42.857,100,100,100,100,0,18057498213392860566,32
ResizableArray,7,5,100,14.286,100,100,100,100,100,18057498213392860566,96
BaselineArray,7,5,200,28.571,100,100,100,100,100,18057498213392860566,32
ResizableArray,7,6,200,28.571,0,100,100,100,0,18057498213392860566,96
BaselineArray,7,6,300,42.857,100,100,100,100,0,18057498213392860566,32
ResizableArray,7,7,200,28.571,100,100,100,100,0,18057498213392860566,96
BaselineArray,7,7,300,42.857,0,100,100,100,100,18057498213392860566,32
ResizableArray,7,8,200,28.571,0,100,100,100,100,18057498213392860566,96
BaselineArray,7,8,200,28.571,0,100,100,100,0,18057498213392860566,32
ResizableArray,7,9,200,28.571,0,100,100,100,100,18057498213392860566,96
BaselineArray,7,9,300,42.857,0,100,100,100,0,18057498213392860566,32
ResizableArray,8,0,200,25.000,100,100,100,100,100,11856562795401533403,64
BaselineArray,8,0,200,25.000,0,100,100,100,100,11856562795401533403,32
ResizableArray,8,1,300,37.500,100,100,100,100,100,11856562795401533403,64
BaselineArray,8,1,200,25.000,0,100,100,100,100,11856562795401533403,32
ResizableArray,8,2,200,25.000,0,100,100,100,100,11856562795401533403,64
BaselineArray,8,2,300,37.500,0,100,100,100,100,11856562795401533403,32
ResizableArray,8,3,200,25.000,100,100,100,100,100,11856562795401533403,64
BaselineArray,8,3,200,25.000,0,100,100,100,100,11856562795401533403,32
ResizableArray,8,4,200,25.000,100,100,100,100,100,11856562795401533403,64
BaselineArray,8,4,200,25.000,100,100,100,100,100,11856562795401533403,32
ResizableArray,8,5,300,37.500,100,100,100,100,100,11856562795401533403,64
BaselineArray,8,5,300,37.500,100,100,100,100,100,11856562795401533403,32
ResizableArray,8,6,200,25.000,100,100,100,100,0,11856562795401533403,64
BaselineArray,8,6,200,25.000,0,100,100,100,100,11856562795401533403,32
ResizableArray,8,7,200,25.000,100,100,100,100,0,11856562795401533403,64
BaselineArray,8,7,300,37.500,0,100,100,100,100,11856562795401533403,32
ResizableArray,8,8,300,37.500,0,100,100,100,100,11856562795401533403,64
BaselineArray,8,8,200,25.000,0,100,100,100,100,11856562795401533403,32
ResizableArray,8,9,200,25.000,100,100,100,100,100,11856562795401533403,64
BaselineArray,8,9,300,37.500,0,100,100,100,0,11856562795401533403,32
ResizableArray,9,0,300,33.333,0,100,100,100,0,7961758342824472980,192
BaselineArray,9,0,200,22.222,0,100,100,100,0,7961758342824472980,64
ResizableArray,9,1,400,44.444,0,100,100,100,100,7961758342824472980,192
BaselineArray,9,1,300,33.333,0,100,100,100,100,7961758342824472980,64
ResizableArray,9,2,300,33.333,0,100,100,100,100,7961758342824472980,192
BaselineArray,9,2,300,33.333,0,100,100,100,0,7961758342824472980,64
ResizableArray,9,3,200,22.222,0,100,100,100,0,7961758342824472980,192
BaselineArray,9,3,300,33.333,100,100,100,100,100,7961758342824472980,64
ResizableArray,9,4,300,33.333,100,100,100,100,100,7961758342824472980,192
BaselineArray,9,4,300,33.333,0,100,100,100,100,7961758342824472980,64
ResizableArray,9,5,300,33.333,0,100,100,100,0,7961758342824472980,192
BaselineArray,9,5,300,33.333,0,100,100,100,0,7961758342824472980,64
ResizableArray,9,6,300,33.333,100,100,100,100,100,7961758342824472980,192
BaselineArray,9,6,300,33.333,0,100,100,100,0,7961758342824472980,64
ResizableArray,9,7,200,22.222,100,100,100,100,0,7961758342824472980,192
BaselineArray,9,7,200,22.222,100,100,100,100,100,7961758342824472980,64
ResizableArray,9,8,300,33.333,100,100,100,100,100,7961758342824472980,192
BaselineArray,9,8,300,33.333,100,100,100,100,100,7961758342824472980,64
ResizableArray,9,9,300,33.333,0,100,100,100,100,7961758342824472980,192
BaselineArray,9,9,300,33.333,100,100,100,100,100,7961758342824472980,64
ResizableArray,15,0,300,20.000,0,100,100,100,100,14586186246162512913,192
BaselineArray,15,0,400,26.667,0,100,100,100,100,14586186246162512913,64
ResizableArray,15,1,400,26.667,0,100,100,100,100,14586186246162512913,192
BaselineArray,15,1,400,26.667,0,100,100,100,100,14586186246162512913,64
ResizableArray,15,2,400,26.667,0,100,100,100,200,14586186246162512913,192
BaselineArray,15,2,300,20.000,0,100,100,100,100,14586186246162512913,64
ResizableArray,15,3,300,20.000,0,100,100,100,200,14586186246162512913,192
BaselineArray,15,3,400,26.667,0,100,100,100,100,14586186246162512913,64
ResizableArray,15,4,400,26.667,0,100,100,100,200,14586186246162512913,192
BaselineArray,15,4,300,20.000,0,100,100,100,100,14586186246162512913,64
ResizableArray,15,5,400,26.667,0,100,100,100,100,14586186246162512913,192
BaselineArray,15,5,300,20.000,0,100,100,100,0,14586186246162512913,64
ResizableArray,15,6,300,20.000,0,100,100,100,200,14586186246162512913,192
BaselineArray,15,6,300,20.000,0,100,100,100,100,14586186246162512913,64
ResizableArray,15,7,300,20.000,0,100,100,100,100,14586186246162512913,192
BaselineArray,15,7,300,20.000,0,100,100,100,100,14586186246162512913,64
ResizableArray,15,8,400,26.667,0,100,100,100,100,14586186246162512913,192
BaselineArray,15,8,400,26.667,0,100,100,100,100,14586186246162512913,64
ResizableArray,15,9,400,26.667,100,100,100,100,100,14586186246162512913,192
BaselineArray,15,9,400,26.667,100,100,100,100,100,14586186246162512913,64
ResizableArray,16,0,400,25.000,0,100,100,100,100,10114488645722501728,128
BaselineArray,16,0,400,25.000,0,100,100,100,100,10114488645722501728,64
ResizableArray,16,1,400,25.000,0,100,100,100,100,10114488645722501728,128
BaselineArray,16,1,400,25.000,0,100,100,100,100,10114488645722501728,64
ResizableArray,16,2,300,18.750,0,100,100,100,100,10114488645722501728,128
BaselineArray,16,2,300,18.750,0,100,100,100,100,10114488645722501728,64
ResizableArray,16,3,300,18.750,0,100,100,100,0,10114488645722501728,128
BaselineArray,16,3,300,18.750,0,100,100,100,0,10114488645722501728,64
ResizableArray,16,4,400,25.000,0,100,100,100,100,10114488645722501728,128
BaselineArray,16,4,400,25.000,0,100,100,100,100,10114488645722501728,64
ResizableArray,16,5,300,18.750,0,100,100,100,0,10114488645722501728,128
BaselineArray,16,5,300,18.750,0,100,100,100,100,10114488645722501728,64
ResizableArray,16,6,400,25.000,0,100,100,100,100,10114488645722501728,128
BaselineArray,16,6,300,18.750,0,100,100,100,100,10114488645722501728,64
ResizableArray,16,7,500,31.250,100,100,100,100,100,10114488645722501728,128
BaselineArray,16,7,300,18.750,0,100,100,100,100,10114488645722501728,64
ResizableArray,16,8,400,25.000,0,100,100,100,200,10114488645722501728,128
BaselineArray,16,8,300,18.750,0,100,100,100,100,10114488645722501728,64
ResizableArray,16,9,400,25.000,0,100,100,100,100,10114488645722501728,128
BaselineArray,16,9,400,25.000,0,100,100,100,100,10114488645722501728,64
ResizableArray,17,0,400,23.529,0,100,100,100,200,2356116883344654828,384
BaselineArray,17,0,400,23.529,0,100,100,100,100,2356116883344654828,128
ResizableArray,17,1,400,23.529,0,100,100,100,200,2356116883344654828,384
BaselineArray,17,1,600,35.294,0,100,100,100,100,2356116883344654828,128
ResizableArray,17,2,500,29.412,0,100,100,100,100,2356116883344654828,384
BaselineArray,17,2,400,23.529,100,100,100,100,100,2356116883344654828,128
ResizableArray,17,3,400,23.529,0,100,100,100,200,2356116883344654828,384
BaselineArray,17,3,400,23.529,100,100,100,100,200,2356116883344654828,128
ResizableArray,17,4,400,23.529,0,100,100,100,100,2356116883344654828,384
BaselineArray,17,4,600,35.294,0,100,100,100,100,2356116883344654828,128
ResizableArray,17,5,500,29.412,0,100,100,100,100,2356116883344654828,384
BaselineArray,17,5,500,29.412,100,100,100,100,100,2356116883344654828,128
ResizableArray,17,6,500,29.412,0,100,100,100,100,2356116883344654828,384
