structure,n,trial,total_ns,ns_per_push,median_push_ns,p95_push_ns,p99_push_ns,max_push_ns,random_access_ns,checksum,estimated_bytes
ResizableArray,127,7,1500,11.811,0,100,100,100,700,4615455325303210370,1536
BaselineArray,127,7,1000,7.874,0,100,100,100,500,4615455325303210370,512
ResizableArray,127,8,1600,12.598,0,100,100,100,700,4615455325303210370,1536
BaselineArray,127,8,1000,7.874,0,100,100,200,600,4615455325303210370,512
ResizableArray,127,9,1700,13.386,0,100,100,100,700,4615455325303210370,1536
BaselineArray,127,9,1100,8.661,0,100,100,100,600,4615455325303210370,512
ResizableArray,128,0,1700,13.281,0,100,100,100,500,5228071469893529798,1024
BaselineArray,128,0,1000,7.812,0,100,100,100,500,5228071469893529798,512
ResizableArray,128,1,1700,13.281,0,100,100,100,500,5228071469893529798,1024
BaselineArray,128,1,900,7.031,0,100,100,200,600,5228071469893529798,512
ResizableArray,128,2,1800,14.062,0,100,100,200,500,5228071469893529798,1024
BaselineArray,128,2,1000,7.812,0,100,100,100,600,5228071469893529798,512
ResizableArray,128,3,1800,14.062,0,100,100,100,500,5228071469893529798,1024
BaselineArray,128,3,1000,7.812,0,100,100,100,600,5228071469893529798,512
ResizableArray,128,4,1700,13.281,0,100,100,200,500,5228071469893529798,1024
BaselineArray,128,4,1000,7.812,0,100,100,100,500,5228071469893529798,512
ResizableArray,128,5,1600,12.500,0,100,100,100,500,5228071469893529798,1024
BaselineArray,128,5,1000,7.812,0,100,100,100,500,5228071469893529798,512
ResizableArray,128,6,1700,13.281,0,100,100,100,500,5228071469893529798,1024
BaselineArray,128,6,1000,7.812,0,100,100,100,600,5228071469893529798,512
ResizableArray,128,7,1900,14.844,0,100,100,100,500,5228071469893529798,1024
BaselineArray,128,7,1100,8.594,0,100,100,100,500,5228071469893529798,512
ResizableArray,128,8,1800,14.062,0,100,100,100,500,5228071469893529798,1024
BaselineArray,128,8,1000,7.812,0,100,100,100,600,5228071469893529798,512
ResizableArray,128,9,1700,13.281,0,100,100,100,600,5228071469893529798,1024
BaselineArray,128,9,1000,7.812,0,100,100,200,600,5228071469893529798,512
ResizableArray,129,0,1700,13.178,0,100,100,100,600,4517065555842681453,3072
BaselineArray,129,0,1100,8.527,0,100,100,200,500,4517065555842681453,1024
ResizableArray,129,1,1600,12.403,0,100,100,100,500,4517065555842681453,3072
BaselineArray,129,1,1200,9.302,0,100,100,100,500,4517065555842681453,1024
ResizableArray,129,2,1700,13.178,0,100,100,100,600,4517065555842681453,3072
BaselineArray,129,2,1300,10.078,0,100,100,100,500,4517065555842681453,1024
ResizableArray,129,3,1800,13.953,0,100,100,100,600,4517065555842681453,3072
BaselineArray,129,3,1200,9.302,0,100,100,200,600,4517065555842681453,1024
ResizableArray,129,4,1700,13.178,0,100,100,100,600,4517065555842681453,3072
BaselineArray,129,4,1200,9.302,0,100,100,200,600,4517065555842681453,1024
ResizableArray,129,5,1700,13.178,0,100,100,100,600,4517065555842681453,3072
BaselineArray,129,5,1100,8.527,0,100,200,200,600,4517065555842681453,1024
ResizableArray,129,6,1800,13.953,0,100,100,100,600,4517065555842681453,3072
BaselineArray,129,6,1100,8.527,0,100,100,100,500,4517065555842681453,1024
ResizableArray,129,7,1700,13.178,0,100,100,100,700,4517065555842681453,3072
BaselineArray,129,7,1300,10.078,0,100,100,100,500,4517065555842681453,1024
ResizableArray,129,8,1600,12.403,0,100,100,100,500,4517065555842681453,3072
BaselineArray,129,8,1200,9.302,0,100,100,200,600,4517065555842681453,1024
ResizableArray,129,9,1800,13.953,0,100,100,100,600,4517065555842681453,3072
BaselineArray,129,9,1200,9.302,0,100,100,200,600,4517065555842681453,1024
ResizableArray,255,0,3000,11.765,0,100,100,100,2000,15484952791302189885,3072
BaselineArray,255,0,1800,7.059,0,100,100,200,1100,15484952791302189885,1024
ResizableArray,255,1,2900,11.373,0,100,100,100,2000,15484952791302189885,3072
BaselineArray,255,1,1700,6.667,0,100,100,100,1100,15484952791302189885,1024
ResizableArray,255,2,2900,11.373,0,100,100,200,1900,15484952791302189885,3072
BaselineArray,255,2,1700,6.667,0,100,100,200,1100,15484952791302189885,1024
ResizableArray,255,3,2900,11.373,0,100,100,100,1800,15484952791302189885,3072
BaselineArray,255,3,1700,6.667,0,100,100,100,1100,15484952791302189885,1024
ResizableArray,255,4,2900,11.373,0,100,100,100,2000,15484952791302189885,3072
BaselineArray,255,4,1700,6.667,0,100,100,200,1100,15484952791302189885,1024
ResizableArray,255,5,2900,11.373,0,100,100,100,1800,15484952791302189885,3072
BaselineArray,255,5,1700,6.667,0,100,100,200,1100,15484952791302189885,1024
ResizableArray,255,6,2900,11.373,0,100,100,100,1700,15484952791302189885,3072
BaselineArray,255,6,1700,6.667,0,100,100,200,1000,15484952791302189885,1024
ResizableArray,255,7,2900,11.373,0,100,100,100,1800,15484952791302189885,3072
BaselineArray,255,7,1700,6.667,0,100,100,200,1100,15484952791302189885,1024
ResizableArray,255,8,3000,11.765,0,100,100,100,1700,15484952791302189885,3072
BaselineArray,255,8,1600,6.275,0,100,100,200,1000,15484952791302189885,1024
ResizableArray,255,9,2900,11.373,0,100,100,100,1800,15484952791302189885,3072
BaselineArray,255,9,1600,6.275,0,100,100,200,1100,15484952791302189885,1024
ResizableArray,256,0,3100,12.109,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,0,1600,6.250,0,100,100,200,1100,10530590733422394673,1024
ResizableArray,256,1,2900,11.328,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,1,1600,6.250,0,100,100,200,1000,10530590733422394673,1024
ResizableArray,256,2,3000,11.719,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,2,1800,7.031,0,100,100,200,1100,10530590733422394673,1024
ResizableArray,256,3,3000,11.719,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,3,1600,6.250,0,100,100,200,1000,10530590733422394673,1024
ResizableArray,256,4,2900,11.328,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,4,1500,5.859,0,100,100,200,1100,10530590733422394673,1024
ResizableArray,256,5,3000,11.719,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,5,1600,6.250,0,100,100,200,1100,10530590733422394673,1024
ResizableArray,256,6,2900,11.328,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,6,1700,6.641,0,100,100,100,1000,10530590733422394673,1024
ResizableArray,256,7,2900,11.328,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,7,1600,6.250,0,100,100,200,1000,10530590733422394673,1024
ResizableArray,256,8,2900,11.328,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,8,1700,6.641,0,100,100,200,1100,10530590733422394673,1024
ResizableArray,256,9,3000,11.719,0,100,100,100,1000,10530590733422394673,2048
BaselineArray,256,9,1700,6.641,0,100,100,200,1000,10530590733422394673,1024
ResizableArray,257,0,3100,12.062,0,100,100,100,1100,9923341887783729144,6144
BaselineArray,257,0,1800,7.004,0,100,100,200,1100,9923341887783729144,2048
ResizableArray,257,1,3100,12.062,0,100,100,100,1100,9923341887783729144,6144
BaselineArray,257,1,1800,7.004,0,100,100,200,1100,9923341887783729144,2048
ResizableArray,257,2,3100,12.062,0,100,100,100,1100,9923341887783729144,6144
BaselineArray,257,2,1700,6.615,0,100,100,200,1100,9923341887783729144,2048
ResizableArray,257,3,3000,11.673,0,100,100,100,1200,9923341887783729144,6144
BaselineArray,257,3,1800,7.004,0,100,100,200,1000,9923341887783729144,2048
ResizableArray,257,4,3100,12.062,0,100,100,100,1100,9923341887783729144,6144
BaselineArray,257,4,1700,6.615,0,100,100,200,1000,9923341887783729144,2048
ResizableArray,257,5,3000,11.673,0,100,100,100,1100,9923341887783729144,6144
BaselineArray,257,5,1700,6.615,0,100,100,100,1100,9923341887783729144,2048
ResizableArray,257,6,3000,11.673,0,100,100,100,1100,9923341887783729144,6144
BaselineArray,257,6,1800,7.004,0,100,100,200,1000,9923341887783729144,2048
ResizableArray,257,7,3100,12.062,0,100,100,100,1100,9923341887783729144,6144
BaselineArray,257,7,1800,7.004,0,100,100,200,1000,9923341887783729144,2048
ResizableArray,257,8,3000,11.673,0,100,100,100,1200,9923341887783729144,6144
BaselineArray,257,8,1800,7.004,0,100,100,200,1100,9923341887783729144,2048
ResizableArray,257,9,3100,12.062,0,100,100,100,1100,9923341887783729144,6144
BaselineArray,257,9,1800,7.004,0,100,100,200,1100,9923341887783729144,2048
ResizableArray,511,0,5400,10.568,0,100,100,100,4200,17793844760764901599,6144
BaselineArray,511,0,2900,5.675,0,100,100,200,2100,17793844760764901599,2048
ResizableArray,511,1,5400,10.568,0,100,100,100,4500,17793844760764901599,6144
BaselineArray,511,1,2900,5.675,0,100,100,200,2100,17793844760764901599,2048
ResizableArray,511,2,5400,10.568,0,100,100,100,4100,17793844760764901599,6144
BaselineArray,511,2,2800,5.479,0,100,100,200,2100,17793844760764901599,2048
ResizableArray,511,3,5500,10.763,0,100,100,100,4200,17793844760764901599,6144
BaselineArray,511,3,6100,11.937,0,100,100,200,2100,17793844760764901599,2048
ResizableArray,511,4,5400,10.568,0,100,100,100,4300,17793844760764901599,6144
BaselineArray,511,4,2700,5.284,0,100,100,200,2500,17793844760764901599,2048
ResizableArray,511,5,5300,10.372,0,100,100,100,4100,17793844760764901599,6144
BaselineArray,511,5,2900,5.675,0,100,100,200,2100,17793844760764901599,2048
ResizableArray,511,6,5500,10.763,0,100,100,300,4100,17793844760764901599,6144
BaselineArray,511,6,3000,5.871,0,100,100,400,2500,17793844760764901599,2048
ResizableArray,511,7,6400,12.524,0,100,100,100,5100,17793844760764901599,6144
BaselineArray,511,7,3300,6.458,0,100,100,200,2400,17793844760764901599,2048
ResizableArray,511,8,6300,12.329,0,100,100,300,5000,17793844760764901599,6144
BaselineArray,511,8,4500,8.806,0,100,100,400,2500,17793844760764901599,2048
ResizableArray,511,9,6800,13.307,0,100,100,200,4000,17793844760764901599,6144
BaselineArray,511,9,3500,6.849,0,100,100,300,2000,17793844760764901599,2048
ResizableArray,512,0,6000,11.719,0,100,100,100,2000,10790232345603958881,4096
BaselineArray,512,0,3400,6.641,0,100,100,200,2100,10790232345603958881,2048
ResizableArray,512,1,5400,10.547,0,100,100,100,1900,10790232345603958881,4096
BaselineArray,512,1,3200,6.250,0,100,100,300,2100,10790232345603958881,2048
ResizableArray,512,2,5400,10.547,0,100,100,100,2000,10790232345603958881,4096
BaselineArray,512,2,3500,6.836,0,100,100,200,2100,10790232345603958881,2048
ResizableArray,512,3,5300,10.352,0,100,100,100,1900,10790232345603958881,4096
BaselineArray,512,3,3400,6.641,0,100,100,200,2100,10790232345603958881,2048
ResizableArray,512,4,5500,10.742,0,100,100,100,1900,10790232345603958881,4096
BaselineArray,512,4,3200,6.250,0,100,100,200,2100,10790232345603958881,2048
ResizableArray,512,5,5400,10.547,0,100,100,100,1900,10790232345603958881,4096
BaselineArray,512,5,3100,6.055,0,100,100,200,2000,10790232345603958881,2048
ResizableArray,512,6,5400,10.547,0,100,100,100,2000,10790232345603958881,4096
BaselineArray,512,6,3000,5.859,0,100,100,100,2100,10790232345603958881,2048
ResizableArray,512,7,5500,10.742,0,100,100,100,1900,10790232345603958881,4096
BaselineArray,512,7,2800,5.469,0,100,100,200,2100,10790232345603958881,2048
ResizableArray,512,8,5300,10.352,0,100,100,100,2000,10790232345603958881,4096
BaselineArray,512,8,2900,5.664,0,100,100,100,2100,10790232345603958881,2048
ResizableArray,512,9,5400,10.547,0,100,100,100,1900,10790232345603958881,4096
BaselineArray,512,9,3000,5.859,0,100,100,200,2000,10790232345603958881,2048
ResizableArray,513,0,5400,10.526,0,100,100,100,2100,3130718655788556842,12288
BaselineArray,513,0,3000,5.848,0,100,100,200,2100,3130718655788556842,4096
ResizableArray,513,1,5500,10.721,0,100,100,100,2300,3130718655788556842,12288
BaselineArray,513,1,2800,5.458,0,100,100,200,2100,3130718655788556842,4096
ResizableArray,513,2,5700,11.111,0,100,100,100,2200,3130718655788556842,12288
BaselineArray,513,2,2800,5.458,0,100,100,200,2100,3130718655788556842,4096
ResizableArray,513,3,5700,11.111,0,100,100,200,2200,3130718655788556842,12288
BaselineArray,513,3,2800,5.458,0,100,100,200,2200,3130718655788556842,4096
ResizableArray,513,4,5600,10.916,0,100,100,100,2200,3130718655788556842,12288
BaselineArray,513,4,2800,5.458,0,100,100,200,2100,3130718655788556842,4096
ResizableArray,513,5,5500,10.721,0,100,100,100,2300,3130718655788556842,12288
BaselineArray,513,5,2900,5.653,0,100,100,200,2100,3130718655788556842,4096
ResizableArray,513,6,5700,11.111,0,100,100,200,2200,3130718655788556842,12288
BaselineArray,513,6,2700,5.263,0,100,100,200,2100,3130718655788556842,4096
ResizableArray,513,7,5500,10.721,0,100,100,100,2200,3130718655788556842,12288
BaselineArray,513,7,2800,5.458,0,100,100,200,2100,3130718655788556842,4096
ResizableArray,513,8,5500,10.721,0,100,100,200,2200,3130718655788556842,12288
BaselineArray,513,8,2800,5.458,0,100,100,200,2100,3130718655788556842,4096
ResizableArray,513,9,5600,10.916,0,100,100,100,2200,3130718655788556842,12288
BaselineArray,513,9,3000,5.848,0,100,100,200,2200,3130718655788556842,4096
ResizableArray,1023,0,10100,9.873,0,100,100,100,8700,8523686894649972369,12288
BaselineArray,1023,0,5100,4.985,0,100,100,200,4100,8523686894649972369,4096
ResizableArray,1023,1,10100,9.873,0,100,100,100,8600,8523686894649972369,12288
BaselineArray,1023,1,5000,4.888,0,100,100,200,4100,8523686894649972369,4096
ResizableArray,1023,2,10100,9.873,0,100,100,100,8500,8523686894649972369,12288
BaselineArray,1023,2,5100,4.985,0,100,100,200,4100,8523686894649972369,4096
ResizableArray,1023,3,10100,9.873,0,100,100,100,8600,8523686894649972369,12288
BaselineArray,1023,3,5100,4.985,0,100,100,200,4200,8523686894649972369,4096
ResizableArray,1023,4,10300,10.068,0,100,100,200,8500,8523686894649972369,12288
BaselineArray,1023,4,5000,4.888,0,100,100,200,4200,8523686894649972369,4096
ResizableArray,1023,5,10200,9.971,0,100,100,100,8000,8523686894649972369,12288
BaselineArray,1023,5,4900,4.790,0,100,100,200,4100,8523686894649972369,4096
ResizableArray,1023,6,10100,9.873,0,100,100,100,8200,8523686894649972369,12288
BaselineArray,1023,6,4900,4.790,0,100,100,200,4000,8523686894649972369,4096
ResizableArray,1023,7,10000,9.775,0,100,100,100,8200,8523686894649972369,12288
BaselineArray,1023,7,5000,4.888,0,100,100,200,4100,8523686894649972369,4096
ResizableArray,1023,8,10000,9.775,0,100,100,100,8300,8523686894649972369,12288
BaselineArray,1023,8,4900,4.790,0,100,100,200,4100,8523686894649972369,4096
ResizableArray,1023,9,10100,9.873,0,100,100,100,8000,8523686894649972369,12288
BaselineArray,1023,9,5000,4.888,0,100,100,200,4100,8523686894649972369,4096
ResizableArray,1024,0,10300,10.059,0,100,100,2500,3800,11232421581435066507,8192
BaselineArray,1024,0,4900,4.785,0,100,100,200,4100,11232421581435066507,4096
ResizableArray,1024,1,10300,10.059,0,100,100,100,3800,11232421581435066507,8192
BaselineArray,1024,1,4900,4.785,0,100,100,200,4100,11232421581435066507,4096
ResizableArray,1024,2,10300,10.059,0,100,100,100,3800,11232421581435066507,8192
BaselineArray,1024,2,4900,4.785,0,100,100,100,4100,11232421581435066507,4096
ResizableArray,1024,3,10300,10.059,0,100,100,100,3900,11232421581435066507,8192
BaselineArray,1024,3,5100,4.980,0,100,100,200,4200,11232421581435066507,4096
ResizableArray,1024,4,10100,9.863,0,100,100,100,3800,11232421581435066507,8192
BaselineArray,1024,4,5000,4.883,0,100,100,200,4200,11232421581435066507,4096
ResizableArray,1024,5,10100,9.863,0,100,100,100,3700,11232421581435066507,8192
BaselineArray,1024,5,4900,4.785,0,100,100,100,4100,11232421581435066507,4096
ResizableArray,1024,6,10100,9.863,0,100,100,100,3700,11232421581435066507,8192
BaselineArray,1024,6,5100,4.980,0,100,100,200,4100,11232421581435066507,4096
ResizableArray,1024,7,10200,9.961,0,100,100,100,3900,11232421581435066507,8192
BaselineArray,1024,7,5000,4.883,0,100,100,200,4100,11232421581435066507,4096
ResizableArray,1024,8,10100,9.863,0,100,100,100,3800,11232421581435066507,8192
BaselineArray,1024,8,5000,4.883,0,100,100,200,4200,11232421581435066507,4096
ResizableArray,1024,9,10200,9.961,0,100,100,100,3800,11232421581435066507,8192
BaselineArray,1024,9,6200,6.055,0,100,100,200,4200,11232421581435066507,4096
ResizableArray,1025,0,10200,9.951,0,100,100,300,4500,2775959781439055321,24576
BaselineArray,1025,0,5600,5.463,0,100,100,400,4400,2775959781439055321,8192
ResizableArray,1025,1,10500,10.244,0,100,100,100,4300,2775959781439055321,24576
BaselineArray,1025,1,5300,5.171,0,100,100,300,4400,2775959781439055321,8192
ResizableArray,1025,2,10400,10.146,0,100,100,100,4900,2775959781439055321,24576
BaselineArray,1025,2,7400,7.220,0,100,100,300,4100,2775959781439055321,8192
ResizableArray,1025,3,10700,10.439,0,100,100,100,4500,2775959781439055321,24576
BaselineArray,1025,3,5600,5.463,0,100,100,200,4200,2775959781439055321,8192
ResizableArray,1025,4,10500,10.244,0,100,100,200,4500,2775959781439055321,24576
BaselineArray,1025,4,5300,5.171,0,100,100,200,4000,2775959781439055321,8192
ResizableArray,1025,5,10400,10.146,0,100,100,100,4300,2775959781439055321,24576
BaselineArray,1025,5,5100,4.976,0,100,100,200,4100,2775959781439055321,8192
ResizableArray,1025,6,10200,9.951,0,100,100,26500,4300,2775959781439055321,24576
BaselineArray,1025,6,5300,5.171,0,100,100,200,4100,2775959781439055321,8192
ResizableArray,1025,7,10300,10.049,0,100,100,100,4200,2775959781439055321,24576
BaselineArray,1025,7,5300,5.171,0,100,100,200,4100,2775959781439055321,8192
ResizableArray,1025,8,10200,9.951,0,100,100,100,4300,2775959781439055321,24576
BaselineArray,1025,8,5300,5.171,0,100,100,200,4100,2775959781439055321,8192
ResizableArray,1025,9,10400,10.146,0,100,100,100,4500,2775959781439055321,24576
BaselineArray,1025,9,5000,4.878,0,100,100,200,4100,2775959781439055321,8192
ResizableArray,2047,0,19900,9.722,0,100,100,100,17100,16906902555944047352,24576
BaselineArray,2047,0,9100,4.446,0,100,100,200,8300,16906902555944047352,8192
ResizableArray,2047,1,19800,9.673,0,100,100,100,17000,16906902555944047352,24576
BaselineArray,2047,1,9100,4.446,0,100,100,200,8300,16906902555944047352,8192
ResizableArray,2047,2,19900,9.722,0,100,100,200,18400,16906902555944047352,24576
BaselineArray,2047,2,9100,4.446,0,100,100,2900,8300,16906902555944047352,8192
ResizableArray,2047,3,19900,9.722,0,100,100,100,16400,16906902555944047352,24576
BaselineArray,2047,3,9400,4.592,0,100,100,200,18300,16906902555944047352,8192
ResizableArray,2047,4,20100,9.819,0,100,100,200,16200,16906902555944047352,24576
BaselineArray,2047,4,9400,4.592,0,100,100,200,8200,16906902555944047352,8192
ResizableArray,2047,5,19700,9.624,0,100,100,100,16100,16906902555944047352,24576
BaselineArray,2047,5,9200,4.494,0,100,100,200,8300,16906902555944047352,8192
ResizableArray,2047,6,19900,9.722,0,100,100,100,16000,16906902555944047352,24576
BaselineArray,2047,6,9200,4.494,0,100,100,200,8300,16906902555944047352,8192
ResizableArray,2047,7,19800,9.673,0,100,100,100,16400,16906902555944047352,24576
BaselineArray,2047,7,9300,4.543,0,100,100,200,8200,16906902555944047352,8192
ResizableArray,2047,8,19700,9.624,0,100,100,100,16400,16906902555944047352,24576
BaselineArray,2047,8,9300,4.543,0,100,100,200,8200,16906902555944047352,8192
ResizableArray,2047,9,19700,9.624,0,100,100,100,16200,16906902555944047352,24576
BaselineArray,2047,9,9700,4.739,0,100,100,200,8200,16906902555944047352,8192
ResizableArray,2048,0,27000,13.184,0,100,100,2500,12400,12459520245459788255,16384
BaselineArray,2048,0,22800,11.133,0,100,100,12200,11100,12459520245459788255,8192
ResizableArray,2048,1,26100,12.744,0,100,100,2500,11300,12459520245459788255,16384
BaselineArray,2048,1,17200,8.398,0,100,100,300,10500,12459520245459788255,8192
ResizableArray,2048,2,25700,12.549,0,100,100,2000,8000,12459520245459788255,16384
BaselineArray,2048,2,13400,6.543,0,100,100,300,8400,12459520245459788255,8192
ResizableArray,2048,3,19900,9.717,0,100,100,2000,7700,12459520245459788255,16384
BaselineArray,2048,3,13400,6.543,0,100,100,200,8600,12459520245459788255,8192
ResizableArray,2048,4,20100,9.814,0,100,100,2100,7700,12459520245459788255,16384
BaselineArray,2048,4,13500,6.592,0,100,100,300,8400,12459520245459788255,8192
ResizableArray,2048,5,20100,9.814,0,100,100,2100,7700,12459520245459788255,16384
BaselineArray,2048,5,13500,6.592,0,100,100,300,8300,12459520245459788255,8192
ResizableArray,2048,6,20300,9.912,0,100,100,2000,7700,12459520245459788255,16384
BaselineArray,2048,6,13200,6.445,0,100,100,200,8400,12459520245459788255,8192
ResizableArray,2048,7,20000,9.766,0,100,100,1900,8300,12459520245459788255,16384
BaselineArray,2048,7,13100,6.396,0,100,100,500,12100,12459520245459788255,8192
ResizableArray,2048,8,20100,9.814,0,100,100,5200,7700,12459520245459788255,16384
BaselineArray,2048,8,13200,6.445,0,100,100,200,8300,12459520245459788255,8192
ResizableArray,2048,9,19800,9.668,0,100,100,1900,7500,12459520245459788255,16384
BaselineArray,2048,9,13200,6.445,0,100,100,200,8300,12459520245459788255,8192
ResizableArray,2049,0,29100,14.202,0,100,100,2800,8500,16728717555825275455,49152
BaselineArray,2049,0,37500,18.302,0,100,100,3000,8200,16728717555825275455,16384
ResizableArray,2049,1,21100,10.298,0,100,100,2000,8700,16728717555825275455,49152
BaselineArray,2049,1,12600,6.149,0,100,100,300,8700,16728717555825275455,16384
ResizableArray,2049,2,20200,9.858,0,100,100,2000,8400,16728717555825275455,49152
BaselineArray,2049,2,9800,4.783,0,100,100,300,9000,16728717555825275455,16384
ResizableArray,2049,3,20200,9.858,0,100,100,1900,8700,16728717555825275455,49152
BaselineArray,2049,3,9400,4.588,0,100,100,300,8400,16728717555825275455,16384
ResizableArray,2049,4,20300,9.907,0,100,100,2100,8500,16728717555825275455,49152
BaselineArray,2049,4,9600,4.685,0,100,100,200,8400,16728717555825275455,16384
ResizableArray,2049,5,20000,9.761,0,100,100,2100,8800,16728717555825275455,49152
BaselineArray,2049,5,9500,4.636,0,100,100,300,8500,16728717555825275455,16384
ResizableArray,2049,6,20600,10.054,0,100,100,2300,9000,16728717555825275455,49152
BaselineArray,2049,6,10900,5.320,0,100,100,4000,10700,16728717555825275455,16384
ResizableArray,2049,7,27500,13.421,0,100,100,2600,11200,16728717555825275455,49152
BaselineArray,2049,7,12600,6.149,0,100,100,400,10800,16728717555825275455,16384
ResizableArray,2049,8,25900,12.640,0,100,100,2600,10900,16728717555825275455,49152
BaselineArray,2049,8,12500,6.101,0,100,100,300,11000,16728717555825275455,16384
ResizableArray,2049,9,25500,12.445,0,100,100,2100,11100,16728717555825275455,49152
BaselineArray,2049,9,12500,6.101,0,100,100,300,8500,16728717555825275455,16384
ResizableArray,4095,0,39800,9.719,0,100,100,2200,33900,16452277520199245753,49152
BaselineArray,4095,0,17900,4.371,0,100,100,200,16700,16452277520199245753,16384
ResizableArray,4095,1,39300,9.597,0,100,100,4700,33400,16452277520199245753,49152
BaselineArray,4095,1,17700,4.322,0,100,100,200,17600,16452277520199245753,16384
ResizableArray,4095,2,39300,9.597,0,100,100,3000,34500,16452277520199245753,49152
BaselineArray,4095,2,17700,4.322,0,100,100,200,16300,16452277520199245753,16384
ResizableArray,4095,3,40300,9.841,0,100,100,3000,58900,16452277520199245753,49152
BaselineArray,4095,3,39300,9.597,0,100,100,400,16500,16452277520199245753,16384
ResizableArray,4095,4,39900,9.744,0,100,100,2300,34600,16452277520199245753,49152
BaselineArray,4095,4,17900,4.371,0,100,100,200,16500,16452277520199245753,16384
ResizableArray,4095,5,39900,9.744,0,100,100,2200,34500,16452277520199245753,49152
BaselineArray,4095,5,18100,4.420,0,100,100,300,16400,16452277520199245753,16384
ResizableArray,4095,6,40000,9.768,0,100,100,2100,33300,16452277520199245753,49152
BaselineArray,4095,6,18100,4.420,0,100,100,400,17500,16452277520199245753,16384
ResizableArray,4095,7,39300,9.597,0,100,100,2300,33200,16452277520199245753,49152
BaselineArray,4095,7,18500,4.518,0,100,100,400,17200,16452277520199245753,16384
ResizableArray,4095,8,39600,9.670,0,100,100,2200,33300,16452277520199245753,49152
BaselineArray,4095,8,18200,4.444,0,100,100,200,16800,16452277520199245753,16384
ResizableArray,4095,9,39500,9.646,0,100,100,2000,32800,16452277520199245753,49152
BaselineArray,4095,9,17800,4.347,0,100,100,4100,17700,16452277520199245753,16384
ResizableArray,4096,0,39700,9.692,0,100,100,8000,15300,15539031081542021048,32768
BaselineArray,4096,0,17900,4.370,0,100,100,200,16700,15539031081542021048,16384
ResizableArray,4096,1,39400,9.619,0,100,100,2200,17600,15539031081542021048,32768
BaselineArray,4096,1,18000,4.395,0,100,100,300,16200,15539031081542021048,16384
ResizableArray,4096,2,39300,9.595,0,100,100,2100,15900,15539031081542021048,32768
BaselineArray,4096,2,17900,4.370,0,100,100,200,18900,15539031081542021048,16384
ResizableArray,4096,3,40400,9.863,0,100,100,2600,15600,15539031081542021048,32768
BaselineArray,4096,3,17800,4.346,0,100,100,10100,17000,15539031081542021048,16384
ResizableArray,4096,4,39500,9.644,0,100,100,2200,15700,15539031081542021048,32768
BaselineArray,4096,4,18000,4.395,0,100,100,3300,16300,15539031081542021048,16384
ResizableArray,4096,5,39300,9.595,0,100,100,7700,15300,15539031081542021048,32768
BaselineArray,4096,5,18000,4.395,0,100,100,300,16800,15539031081542021048,16384
ResizableArray,4096,6,39600,9.668,0,100,100,2000,15900,15539031081542021048,32768
BaselineArray,4096,6,18100,4.419,0,100,100,200,16700,15539031081542021048,16384
ResizableArray,4096,7,39300,9.595,0,100,100,2200,14900,15539031081542021048,32768
BaselineArray,4096,7,17700,4.321,0,100,100,200,17300,15539031081542021048,16384
ResizableArray,4096,8,39400,9.619,0,100,100,2100,14900,15539031081542021048,32768
BaselineArray,4096,8,17900,4.370,0,100,100,300,16700,15539031081542021048,16384
ResizableArray,4096,9,39800,9.717,0,100,100,6800,22400,15539031081542021048,32768
BaselineArray,4096,9,25300,6.177,0,100,100,300,20500,15539031081542021048,16384
